year,stateFull,state,Affiliation
1992,SOUTH CAROLINA,SC,DIVIDED
1992,SOUTH DAKOTA,SD,DIVIDED
1992,TENNESSEE,TN,DIVIDED
1992,TEXAS,TX,DIVIDED
1992,UTAH,UT,REPUBLICAN
1992,VERMONT,VT,DEMOCRAT
1992,VIRGINIA,VA,DIVIDED
1992,WASHINGTON,WA,DEMOCRAT
1992,WEST VIRGINIA,WV,DEMOCRAT
1992,WISCONSIN,WI,DIVIDED
1992,WYOMING,WY,REPUBLICAN
1996,ALABAMA,AL,REPUBLICAN
1996,ALASKA,AK,REPUBLICAN
1996,ARIZONA,AZ,DIVIDED
1996,ARKANSAS,AR,DEMOCRAT
1996,CALIFORNIA,CA,DEMOCRAT
1996,COLORADO,CO,DIVIDED
1996,CONNECTICUT,CT,DEMOCRAT
1996,DELAWARE,DE,DEMOCRAT
1996,DISTRICT OF COLUMBIA,DC,DEMOCRAT
1996,FLORIDA,FL,DEMOCRAT
1996,GEORGIA,GA,DIVIDED
1996,HAWAII,HI,DEMOCRAT
1996,IDAHO,ID,REPUBLICAN
1996,ILLINOIS,IL,DEMOCRAT
1996,INDIANA,IN,REPUBLICAN
1996,IOWA,IA,DEMOCRAT
1996,KANSAS,KS,REPUBLICAN
1996,KENTUCKY,KY,DIVIDED
1996,LOUISIANA,LA,DEMOCRAT
1996,MAINE,ME,DEMOCRAT
1996,MARYLAND,MD,DEMOCRAT
1996,MASSACHUSETTS,MA,DEMOCRAT
1996,MICHIGAN,MI,DEMOCRAT
1996,MINNESOTA,MN,DEMOCRAT
1996,MISSISSIPPI,MS,REPUBLICAN
1996,MISSOURI,MO,DEMOCRAT
1996,MONTANA,MT,DIVIDED
1996,NEBRASKA,NE,REPUBLICAN
1996,NEVADA,NV,DIVIDED
1996,NEW HAMPSHIRE,NH,DEMOCRAT
1996,NEW JERSEY,NJ,DEMOCRAT
1996,NEW MEXICO,NM,DEMOCRAT
1996,NEW YORK,NY,DEMOCRAT
1996,NORTH CAROLINA,NC,DIVIDED
1996,NORTH DAKOTA,ND,REPUBLICAN
1996,OHIO,OH,DEMOCRAT
1996,OKLAHOMA,OK,REPUBLICAN
1996,OREGON,OR,DEMOCRAT
1996,PENNSYLVANIA,PA,DEMOCRAT
1996,RHODE ISLAND,RI,DEMOCRAT
1996,SOUTH CAROLINA,SC,REPUBLICAN
1996,SOUTH DAKOTA,SD,DIVIDED
1996,TENNESSEE,TN,DIVIDED
1996,TEXAS,TX,DIVIDED
1996,UTAH,UT,REPUBLICAN
1996,VERMONT,VT,DEMOCRAT
1996,VIRGINIA,VA,DIVIDED
1996,WASHINGTON,WA,DEMOCRAT
1996,WEST VIRGINIA,WV,DEMOCRAT
1996,WISCONSIN,WI,DEMOCRAT
1996,WYOMING,WY,REPUBLICAN
2000,ALABAMA,AL,REPUBLICAN
2000,ALASKA,AK,REPUBLICAN
2000,ARIZONA,AZ,REPUBLICAN
2000,ARKANSAS,AR,REPUBLICAN
2000,CALIFORNIA,CA,DEMOCRAT
